Auteur,Coauteurs,Date,Langue,Titre,Summary
Arregle Jean-Luc,Miller Hitt Beamish,01/12/2018,anglais,The role of MNEs’ internationalization patterns in their regional integration of FDI locations,"Multinational enterprises (MNEs) use the regional aggregation and integration of their foreign direct investments as an important part of their internationalization. Internationalization decisions are integrated at the region level; however, little work has focused on explaining the extent of this regional integration. We develop theoretical arguments and test new hypotheses about MNEs’ general international experience and international geographic scope (i.e., institutional diversity and international dispersion) as predictors of their extent of regional integration. The results from a sample of Japanese MNEs validate these different effects, suggesting these MNE level variables are important for regional influences on their internationalization decisions. The results further our understanding of how MNEs organize their internationalization and strategic geographic foci."
Fattoum Asma,Delmar Wright,01/12/2018,anglais,The best of both worlds,"Research Summary: To prevent loss of control post‐IPO, founder‐CEOs can implement control‐enhancing mechanisms disconnecting ownership from voting rights. However, this decision places them in a rich versus king dilemma. If they choose to implement such mechanisms and secure the king position, they risk losing money at IPO. If they choose not to implement control‐enhancing mechanisms and adopt the rich position they risk losing control over the firm. We investigate theoretically and empirically the outcomes of this dilemma in a multi‐period setting (at IPO and post‐IPO). We found that the majority of founder‐CEOs who choose the king option recover initial wealth loss, and hence, they can reconcile the rich and king paths in the long‐run post‐IPO."
Nekhili Mehdi,Chakroun Chtioui,01/12/2018,anglais,Women’s Leadership and Firm Performance,"We evaluate the relationship between the appointment of women to CEO or Chair positions and firm performance, and shed light on the differences between family and nonfamily firms. By using a propensity score matching approach on a sample of 394 French firms over the period 2001–2010, we find major discordances between women’s leadership style and family business expectations relative to firm performance, as measured by return on assets and Tobin’s q. Notably, our results support the conjecture that family firms, which are more conducive to transformational leadership, offer women a more appropriate climate for exercising the function of Chair than that of CEO. In contrast, women CEOs perform better in nonfamily firms. Our findings move away from the predominant focus on barriers and stereotypes images about the female leadership and support the contingency theory of leadership, which states that the effectiveness of a leadership style depends on the organization and culture in which leaders operate, and on task-related positions."
Carney Michael,Estrin Van Essen Shapiro,29/11/2018,anglais,Business Groups reconsidered,"In this paper, we consider the potential paths of Business Group's (BGs) evolution. We organize our analysis around the two dominant perspectives on BGs: institutional voids (IV) and entrenchment/exploitation (EE). We suggest that the empirical evidence does not entirely support either perspective, and neither fully predicts what we sometimes observe; namely that BGs not only persist and thrive, but also sometimes do so as internationally competitive firms. This indicates that a more contextualized approach is required, and we propose a conceptual framework that can guide future thinking. In so doing, we take explicit account of two key factors relevant to the dynamics of BG evolution: the state's capacity to create market-supporting institutions and the ability of business groups to adapt to evolving institutions. Our framework accommodates the possibility of multiple outcomes, including ones consistent with the IV and EE perspectives, but also ones consistent with the internationalization of BGs, including those from emerging markets."
Chen Qian,Lu Gong Tang,22/11/2018,anglais,Why do users resist service organization’s brand mobile apps?,"Service organizations increasingly develop brand apps (mobile applications) to expand service channels to the mobile end. Attracting their customers to install the brand app is critical. But there is widespread resistance to brand apps. This resistance can be classified as postponement, opposition and rejection. This study explores consumers’ active resistance of brand app in service organization. We examine the effects of adoption barriers and knowledge of alternatives quality on the three resistance behaviors and moderating effects of satisfaction with off-line service. The results show three resistance behaviors are affected by different reasons, and cross-channel synergy exists. Our study extends the theoretical understanding of the antecedents of and cross-channel influences on resistance to brand apps, with practical implications that managers should adopt different strategies for postponers, opponents and rejecters."
Trejos Cristian,van Deemen Rodriguez Gomez,07/11/2018,anglais,Overconfidence and disposition effect in the stock market,"Modern financial theory relies on the rationality assumption of investors even though, evidence suggests that market investors are affected by behavioural biases such as overconfidence and disposition effect. Overconfident investors perceive situations better than what they actually are, while investors exhibiting disposition effect tend to dispose winner shares and keep loser ones. However there is not clear causal relationship between both biases. We contribute to the literature about overconfidence and its relationship with the disposition effect, using a simulation model often named micro world, representing an artificial financial stock market. We propose a methodology combining qualitative (QCA) and quantitative (Logistic Regression) techniques to correlate transactions’ outcomes with investors’ characteristics. Results suggest that overconfidence is explained by gender, career and education level, while age, nationality, and profits are not significant variables. We also confirm that investors exhibiting disposition effect are more prone to be overconfident."
Airoldi Massimo,,01/11/2018,anglais,Ethnography and the digital fields of social media,"Qualitative researchers struggle to study the transient fields of social network sites like Twitter through conventional ethnographic approaches. This paper suggests that, in order to step further, we should distinguish between the relatively stable ‘contextual’ fields of bounded online communities and the fluid, ‘meta-fields’ resulting from the aggregation of scattered communicative contents based on their metadata. Both these two intertwined layers of the digital environment interplay with users’ online social practices – which are embedded within offline everyday life and vice versa. While Internet ethnography largely dealt with contextual digital fields, recent developments in the realm of online research allow the ethnographic exploration of digital meta-fields and their publics. This shift recalls Marcus’ appeal for a multi-sited ethnography but, in fact, goes further beyond, towards a truly ‘un-sited’ ethnography. I highlight and discuss the main methodological implications of meta- and contextual fieldworks by presenting an exploratory study of European exchange students’ Facebook identities."
Bozionelos Georgios,Bozionelos,01/11/2018,anglais,Trait emotional intelligence and social capital,"The relationship of trait emotional intelligence (EI) with workplace social capital was investigated in 172 individuals in middle and middle-upper organizational ranks. Social capital was operationalized as: mentoring provision for protégés, expressive networking ties, and instrumental network ties. Two out of the three identified relationships were quadratic. In particular, the relationship of mentoring provision and expressive network ties with EI were of U-shaped nature with overall positive linear trends, while that of instrumental network ties with EI was purely linear and positive. The findings suggest that though in most cases the strongest social capital is possessed by those with high scores on trait EI, low EI may also often offer advantages. Extant knowledge about trait EI is utilized to provide an account for the findings, while there is brief discussion of their implications for theory and future research."
Glau Kathrin,Linders Min Scherer Schneider Zagst,01/11/2018,anglais,"Innovations in Insurance, Risk- and Asset Management","This book covers recent developments in the interdisciplinary fields of actuarial science, quantitative finance, risk- and asset management. The authors are leading experts from academia and practice who participated in Innovations in Insurance, Risk- and Asset Management, an international conference held at the Technical University of Munich in 2017. The topics covered include the mathematics of extreme risks, systemic risk, model uncertainty, interest rate and hybrid models, alternative investments, dynamic investment strategies, quantitative risk management, asset liability management, liability driven investments, and behavioral finance. This timely selection of topics is highly relevant for the financial industry and addresses current issues both from an academic as well as from a practitioner's point of view."
Gong Zhanxue,Li Liu Gong,01/11/2018,anglais,Machine learning in explaining nonprofit organizations’ participation,"The construction of smart cities requires the participation of nonprofit organizations, but there are still some problems in the analysis of driving factors of participation. Based on this, using the structural equation model as the research method, a public satisfaction relationship model, based on the machine learning, for nonprofit organizations participating in the construction planning of smart cities was constructed in this study. At the same time, corresponding assumptions are set, and data are collected through questionnaires. Afterward, the Likert tenth scale was used to score questionnaire questions, and deep learning was conducted in conjunction with the model. The research shows that the model established in this study has good analytical results and has certain practical effects. It can provide suggestions for optimization and can provide theoretical references for subsequent research."
Guida Tony,Coqueret,01/11/2018,anglais,Machine Learning in Systematic Equity Allocation,"Recent criticisms suggest that Machine Learning‐based approaches only suite predicting very short‐term price movements. Tony Guida and Guillaume Coqueret apply well‐known ML algorithms to systematic equity investment, presenting a methodology which shows a critical stage of feature and label engineering, a stet that helps uncover hidden structures in the equity market space. Only then, the authors argue, can a modern quantitative approach make accurate long‐term predictions."
Marti Ignasi,,01/11/2018,anglais,"Transformational Business Models, Grand Challenges, and Social Impact","The starting premise of this paper is that business models can transform social reality—sometimes to an extreme. Then, building on the concept of “grand challenges,” we argue that such transformations can be either positive or negative in nature (or both)—even in the case of business models designed to improve value not only economically but environmentally and socially as well. To further our understanding of the negative aspects, we introduced two conceptual categories of business model: those for oppression or depletion and exclusionary ones. We further argue that bringing the notion of grand challenges center-stage highlights four elements that can contribute to emerging research and inform practice on transformational business models. These elements are: participatory forms of architecture; multivocal inscriptions; scaffolding; and proximity (understood as a caring concern for the “other”). They are central components of what we name transformational business models."
Nekhili Mehdi,Javed Chtioui,01/11/2018,anglais,Gender‐diverse audit partners and audit fee premium,"This study empirically investigates the impact of auditor gender on audit fees in a unique audit regulatory environment, namely France, where joint audit is mandatory by law. Apart from the fact that male and female auditor engagement partners have distinctive behaviors and style, the question also arises at to whether coordination problems between two competing audit firms are exacerbated or mitigated by the presence of a female auditor in the joint auditor pair composition. This issue could be more challenging in the context of International Financial Reporting Standards adoption, which increases audit task complexity, audit risk, and audit effort required for an audit engagement. Using a matched sample of firms from the CAC All‐Shares Index listed on Euronext Paris from 2002 to 2010, we find that, when a female auditor is paired with a male auditor, the difference in audit fees stems not only from the presence of the female auditor partner but also from male–female interaction within the joint auditor pair composition. In a supplementary analysis, we show that the impact on audit fees of both the presence of a female partner and male–female auditor interaction is dependent, but in a different way, on the number of Big 4 audit firms in the auditor pair composition."
Scheurenbrand Klara,Parsons Cappellini Patterson,01/11/2018,anglais,Cycling into Headwinds,"Using the example of cycling we contribute to public policy debates surrounding sustainability. We employ practice theory to shift the debate away from consumer choice and agency to examine instead why sustainable practices are not always available to consumers. Therefore, rather than asking the question “why don't people cycle?” we ask “why is the practice of cycling not thriving?” Practice theory focuses on material, meanings and competences as making up a practice positing that it can only thrive and grow once these elements come together. By looking at how practices compete between each other for the same set of elements we can examine how some practices (i.e. driving, schooling, policing) come to dominate or inhibit others (cycling). In terms of the theme of this special issue then instead of excavating anti-consumption as a pre-cursor to practices (i.e. a choice not to engage in), by opening out practices we examine the mechanisms through which this choice is restricted."
Tavin Bertrand,,01/11/2018,anglais,Measuring exposure to dependence risk with random Bernstein copula scenarios,"This paper considers the problem of measuring the exposure to dependence risk carried by a portfolio with an arbitrary number of two-asset derivative contracts. We develop a worst-case risk measure com- puted over a set of dependence scenarios within a divergence restricted region. The set of dependence scenarios corresponds to Bernstein copulas obtained by simulating random doubly stochastic matrices. We then devise a method to compute hedging positions when a limited number of hedging instruments are available for trading. In an empirical study, we show how the proposed method can be used to re- veal an exposure to dependence risk where usual sensitivity methods fail to reveal it. We also illustrate the ability of the proposed method to generate parsimonious hedging strategies in order to reduce the exposure to dependence risk of a given portfolio."
Zhu Li,Gong Xu Gu,01/11/2018,anglais,Emergency Relief Routing Models for Injured Victims Considering Equity and Priority.,"In humanitarian aid, emergency relief routing optimization needs to consider equity and priority issues. Different from the general path selection optimization, this paper builds two models differentiated by considerations on the identical and diverse injured degrees, where the relative deprivation cost is proposed as one of the decision-making objectives to emphasize equity, and the in-transit tolerable suffering duration is employed as a type of time window constraint to highlight rescue priority. After proving the NP-hardness of our models, we design a meta-heuristic algorithm based on the ant colony optimization to accelerate the convergence speed, which is more efficient than the commonly-used genetic algorithm. Taking 2017 Houston Flood as a case, we find results by performing the experimental comparison and sensitivity analysis. First, our models have advantages in the fairness of human sufferings mitigation. Second, the role of the in-transit tolerable suffering time window cannot be ignored in humanitarian relief solutions. Various measures are encouraged to extend this type of time window for achieving better emergency relief. Finally, our proposed hybrid transportation strategy aiming at diverse injured degrees stably outperforms the separated strategy, both in operational cost control and psychological sufferings alleviation, especially when relief supplies are limited."
Sauerwald Steve,Heugens Turturea Van Essen,19/10/2018,anglais,Are all private benefits of control ineffective?,"Private benefits of control (PBC) are benefits that controlling shareholders consume, but that are not shared with minority shareholders. Research focusing on the value protection role of corporate governance typically frames PBC as principal‐principal (PP) agency costs, and interprets them as a form of minority shareholder expropriation that decreases firm performance. Taking a value creation perspective of corporate governance, however, we propose a more nuanced role for PBC. Specifically, we see them also as principal‐principal (PP) agency benefits that compensate controlling shareholders for their monitoring and advisory services, which can increase firm performance. Since both PP costs and benefits affect firm performance, we theorize that PBC enhance firm performance at a diminishing rate. Furthermore, we show that the effect of PBC on firm performance is more positive when country‐level external governance mechanisms are strong."
Rokka Joonas,Sitz,10/10/2018,anglais,Why teach ethnography to managers (in the big data era)?,"In management circles and beyond, companies are rushing to integrate, adapt and exploit big data in their organisations. Moreover, they are willing to recruit nearly anyone with a mention of “big data” or “artificial intelligence” in their resumes. There are nonstop consultant talks and crowded workshops on big data, and academic journals are rushing out special issues with the magical keywords. Nearly absent before 2011, big data is well on its way to be the most talked about topic in the management press, including the Economist, Financial Times, Wall Street Journal and Forbes."
Younes Dima,Courpasson Jacob,10/10/2018,anglais,Ethics from Below,"Secrecy and ethics are often seen as opposing forces within organizations. Secret work is viewed as unethical, as it excludes others from knowing and is associated with self-interested behavior. We contend that this view does not account for the dynamic inherent to secrecy and to the fact that ethics is embedded in social relations. This paper suggests an alternative view. We consider secrecy as a social process which allows employees to maintain their ethics when faced with managerial policies that affect the quality of their work. Building on an in-depth case study of a team of journalists who worked in secret after their managers decided to prioritize the interests of shareholders and advertising firms, we show how these journalists managed to maintain collective ethics through secrecy and to do their work according to their own moral principles. This paper offers two primary contributions. First, we show a mutually beneficial relationship between ethics and secrecy in organizations, wherein secrecy helps maintaining ethics in everyday work. Second, the paper shows how secrecy can lead to ethical resistance, via a transformation of the power relationship with managers."
Assimakopoulos Dimitris,Papagiannidis,01/10/2018,anglais,Identifying industrial clusters with a novel big-data methodology,"In this paper we propose using a novel big-data-mining methodology and the Internet as a new source of useful meta-data for industry classification. The proposed methodology can be utilised as a decision support system for identifying industrial clusters in almost real time in a specific geographic region, contributing to strategic co-operation and policy development for operations and supply chain management across organisational boundaries through big data analytics. Our theoretical discussion on discerning industrial activity of firms in geographical regions starts by highlighting the limitations of the Standard Industrial Classification (SIC) codes. This discussion is followed by the proposed methodology, which has three main steps revolving around web-based data collection, pre-processing and analysis, and reporting of clusters. We discuss each step in detail, presenting the experimental approaches tested. We apply our methodology to a regional case, in the North East of England, in order to demonstrate how such a big data decision support system/analytics can work in practice. Implications for theory, policy and practice are discussed, as well as potential avenues for further research."
Corgnet Brice,Deck DeSantis Porter,01/10/2018,anglais,Information (non)aggregation in markets with costly signal acquisition,"Markets are often viewed as a tool for aggregating disparate private knowledge, a stance supported by past laboratory experiments. However, traders' acquisition cost of information has typically been ignored. Results from a laboratory experiment involving six treatments varying the cost of acquiring signals of an asset's value suggest that when information is costly, markets do not succeed in aggregating it. At an individual level, having information improves trading performance, but not enough to offset the cost of obtaining the information. Although males earn more through trading than females, this differential is offset by the greater propensity of males to buy information such that total profit is similar for males and females. Looking at individual skills, we find that higher theory of mind is associated with greater trading profit, greater overall profit, and an increased likelihood of acquiring information while cognitive reflection is associated with greater profit but not a greater propensity to acquire information."
Forgues Bernard,,01/10/2018,anglais,Kant in pyjamas,"Reflecting on the twenty years that have elapsed since the launch of M@n@gement, I highlight some changes in the world of organizations, the world of organizational research, and the world of academic publications. I argue that, although notable changes have occurred in all three domains, how we do and assess research can still follow long-established canons. In particular, I suggest with Bourdieu that it all rests on reading statistics on pyjamas while thinking of Kant."
Huising Ruthanne,Silbey,01/10/2018,anglais,From Nudge to Culture and Back Again,"The range of organizational responses to regulatory requirements is often explained by observing the organization as a monolithic actor interacting with external agents. We look inside regulated organizations, recognizing them as a web of transactions and norms, to examine how formal and informal organizational practices transform regulatory requirements into normalized activity. This article identifies four levers used at the coalface—or frontline—of the organization to achieve/encourage compliance in organizations: nudge (individual), bureaucracy (roles, rules, and procedures), relational governance (network), and organizational culture (assumptions, values, and artifacts). We map the range of research on coalface governance while displaying the assumptions and implications of each lever often embedded in recommendations to policy makers or organizational managers. We offer this continuum of techniques to invite a richer conversation about ways of pursuing compliance in organizations."
Jalonen Kari,Schildt Vaara,01/10/2018,anglais,Strategic concepts as micro‐level tools in strategic sensemaking,"Research Summary: The purpose of this article is to illuminate the role of concepts in strategic sensemaking. Based on a longitudinal real‐time study of a city organization, we demonstrate how the concept of “self‐responsibility” played a crucial role in strategic sensemaking. We develop a theoretical model that elucidates how strategic concepts are used in meaning‐making, and how such concepts may be mobilized for the legitimation of strategic change. Our main contribution is to offer strategic concepts as a missing micro‐level component of the language‐based view of strategic processes and practices. By so doing, our analysis also adds to studies on strategic ambiguity and advances research on vocabularies."
Lamine Wadid,Mian Fayolle Wright Klofsten Etzkowitz,01/10/2018,anglais,Technology business incubation mechanisms and sustainable regional development,"This article introduces various aspects of technology business incubators (TBIs), emphasizing their increasing role in the spatial context where they are used as platforms and drivers of regional entrepreneurial ecosystems. It outlines the key themes of the emerging role of TBIs in sustainable regional development: TBI biodiversity of ecosystems; accelerating startups in the entrepreneurial university; TBI mechanisms challenged by green technology to sustain regional development; and TBIs’ connecting role between entrepreneurship education, experiential knowledge, and regional development. It proposes an agenda for future research on the role of TBIs as bridging mechanisms and drivers of entrepreneurship and regional development."
Langevin Pascal,Findling Perray-Redslob,01/10/2018,anglais,CWWC's Alternative Fuels Division,"CWWC is a world leader in the production of cement. Because cement production is energy intensive and raises health and sustainability issues, CWWC has increased the use of alternative fuels (e.g., waste) to heat the kilns in place of more traditional fuels (e.g., fuel oil, coal). So far, waste-related activities were integrated in CWWC's cement factories. However, CWWC now considers creating a separate business unit dedicated to waste transformation into usable fuels. The objectives of the case is to have students understand and discuss the challenges of creating interdependent profit centres, implying the implementation of transfer prices. The discussion can remain at a general level or be based on detailed calculations of transfer prices."
M’Chirgui Zouhaïer,Lamine Mian Fayolle,01/10/2018,anglais,University technology commercialization through new venture projects,"This article assesses the performance of a technology business incubator program, established by the French government to support innovative new science and technology-based firms (NSTBF) that seek to commercialize laboratory research results. With a resource-based view and an institutional approach, this study predicts why some incubators may be more successful than others in supporting the development of NSTBF. An original longitudinal data set represents the results of a public incubator program, funded following the passage of a 1999 French law on innovation and research. The findings refer to a sample of 25 operationally active incubators and their 1200 graduated new ventures. This study contributes to the literature on business incubation by showing the importance of various incubator resource inputs for aiding NSTBF projects. It thus provides useful and timely feedback for researchers and policy makers."
Tavin Bertrand,Schneider,01/10/2018,anglais,From the Samuelson volatility effect to a Samuelson correlation effect,"Our first aim in this paper is to introduce a futures-based model able of capturing the main features displayed by Crude Oil futures and options contracts, such as the Samuelson volatility effect and the volatility smile. We calculate the joint characteristic function of two futures contracts in the model in analytic form and use it to price calendar spread options. In an empirical application we show that the model, in contrast to simpler nested models, can be successfully calibrated to market prices of vanilla and calendar spread options. Our second aim is to use this model to analyze the dependence structure of Crude Oil futures contracts. To this end, we propose analytical expressions giving the copula and copula density directly in terms of the joint characteristic function. These tools allow us to perform an in-depth analysis for pairs of futures, and we observe a phenomenon we call the Samuelson correlation effect."
Vijay Devi,Monin,01/10/2018,anglais,Poisedness for social innovation,"When and where do social innovations emerge? We address this question using comparative and historical analyses of organizing for palliative care in India. Although palliative care made in-roads into different parts of India in the 1980s, it evolved as a vibrant sector only in the state of Kerala, through a novel community-based approach. By examining historical and social conditions, we reveal how poisedness, and particularly political poisedness, of time and place manifests in the genesis and propagation of a social innovation. We contribute to the literature on macro-foundations of social innovations by illustrating how an array of organizations and individuals create the very conditions of poisedness that are thereafter leveraged by institutional actors for the construction of novelty and propagation. Moreover, we specify the conditions of poisedness that are conducive to propagation, thereby contributing to conversations on distinct phases of emergence."
Alperovych Yan,,10/09/2018,anglais,The impact on productivity of management buyouts and private equity,"A management buyout (MBO) is a form of transaction in which management teams acquire a firm or its division(s) from its current shareholders. As managers often lack sufficient financial resources, these operations are executed with the help of financial backers known as private equity (PE) firms. The transaction is typically financed with a mixture of equity and debt, the latter being a larger proportion of the total deal value than the former."
